n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
500,290,274,181,132,123,93
600,232,252,154,142,133,115
700,296,229,205,186,155,382
800,453,370,248,204,186,156
900,356,309,315,690,367,266
1000,537,515,360,323,980,345
1100,609,521,481,363,2148,360
1200,702,623,1848,854,436,406
1300,777,1329,597,417,484,1797
1400,1056,875,2504,594,558,507
1500,3272,2889,2705,610,2825,594
1600,2815,3078,2795,817,2544,542
1700,3005,3009,2848,2943,811,2636
1800,3388,2876,3077,2940,3020,3033
1900,3206,3080,3182,856,2781,3037
2000,3835,5322,1004,2864,2930,2946
2100,3412,3467,3175,3022,2745,844
2200,3229,3170,3102,2960,3213,3056
2300,5929,3320,3281,2382,1068,771
2400,2099,2384,1220,2442,1495,2805
2500,5928,3039,3167,3123,2994,1044
2600,5717,3366,2796,1079,1181,1635
2700,1605,3233,3214,5411,1258,1141
2800,5877,3538,5293,3347,1978,1312
2900,2176,1918,1456,1676,1207,1094
3000,2236,2234,1914,1739,1220,1209
3100,2870,1620,1776,1346,3001,1362
3200,3595,1955,1761,1460,2363,1018
3300,5532,1575,2159,1433,1540,1183
3400,2216,2515,1475,1961,1096,1697
3500,2188,2330,1339,2015,1253,2003
3600,2869,2650,1595,1679,1630,1436
3700,3321,2284,2584,2803,2048,1863
3800,3505,4254,3967,1878,2223,2247
3900,2603,2652,2643,2126,2400,1854
4000,3939,4065,3851,3827,6067,3926
4100,6583,2864,2967,1692,2315,1582
4200,4796,3761,2310,2440,1982,3690
4300,4010,2669,2926,2048,2373,1664
4400,3056,2566,1933,1808,1700,1357
4500,2502,1979,1717,1721,1795,2826
4600,2706,1997,1989,1560,1825,1533
4700,2460,2085,1746,1803,1846,1516
4800,2615,2125,2044,1816,1671,1589
4900,2835,2224,2110,1946,1798,1654
5000,2670,2244,2053,1895,1773,1748
5100,2686,2122,1995,2202,1991,1976
5200,3009,2296,2211,1902,3320,3621
5300,4099,4238,2509,2534,2101,1737
5400,2874,2406,2359,2050,2263,1991
5500,3377,3553,2649,2222,1919,1892
5600,3047,3354,2970,2602,2176,1758
5700,3173,2725,2829,2762,2333,2051
5800,3186,2648,2716,2351,2326,1878
5900,3437,2742,2864,2723,2368,1965
6000,3305,4522,2740,2895,2099,1870
6100,3540,3062,2722,2658,2089,2078
6200,3536,3250,3847,3451,2436,1966
6300,3815,3191,2831,2927,2433,2085
6400,3639,3420,2722,2447,2223,2282
6500,3699,4463,3313,2904,2458,2198
6600,3675,3454,2762,2575,2585,2478
6700,4027,4612,4092,3020,2667,2784
6800,4194,3633,3138,2837,2361,2672
6900,4539,5468,3843,3738,3599,3704
7000,6730,4352,4132,3839,2675,2725
7100,5233,5391,3887,3214,4571,3736
7200,5234,4431,3995,3503,4210,3165
7300,4582,3604,3526,3304,2849,2773
7400,4558,4102,3593,3240,2804,2793
7500,4093,5606,4284,3410,2939,2820
7600,4178,4231,3713,3013,2886,2869
7700,4311,3880,4834,3786,3069,2959
7800,4382,3947,3556,3767,4252,3351
7900,4374,4508,3841,3712,3632,3256
8000,5133,4006,3774,3674,3438,2839
8100,5057,4038,3725,3526,3535,3140
8200,4907,4490,3693,3892,3880,3570
8300,4908,4343,3836,3908,3641,3123
8400,4990,4323,3774,3395,3837,3177
8500,4766,4103,3783,3450,4098,3985
8600,5182,4518,3785,3523,3737,3400
8700,5427,4386,3791,3567,4785,3845
8800,5058,4418,3847,3713,4217,3295
8900,5053,6753,4635,5011,5056,5360
9000,7387,5775,7164,4677,4475,4492
9100,6752,6174,7735,7331,5060,5126
9200,7239,5944,8237,4276,4501,3710
9300,6101,6081,4705,4033,4060,3429
9400,6131,4670,4448,4128,3945,3441
9500,6341,4706,4398,3723,4106,4261
9600,5980,5065,4378,5363,4227,4025
9700,6052,4815,4860,4056,4216,3728
9800,6843,5375,4486,3812,4044,3994
9900,5833,5729,4505,4556,5336,3658
10000,6003,5797,4948,4435,3967,4143
10100,6509,4980,4501,5170,4187,4407
10200,5941,4752,4846,4138,4409,3836
10300,6529,5716,6165,4530,4651,3652
10400,6230,5268,4958,4661,4410,3995
10500,6159,5162,5216,5491,6340,5653
10600,8051,6402,9051,11342,9980,5788
10700,9898,7556,7109,7326,5366,5498
10800,8023,5786,5565,6775,5120,4238
10900,8132,8076,8066,5572,4713,3984
11000,6865,5672,5798,7776,6057,4914
11100,7243,6480,5815,5360,4937,4335
11200,6716,5947,5756,5364,4967,4423
11300,6856,6064,6206,5636,4783,4370
11400,8096,6427,5750,5637,6494,4600
11500,6611,8118,6573,5248,4888,4755
11600,7016,7696,5899,5318,4870,4392
11700,7440,6324,6523,5407,4829,4242
11800,7432,6623,6149,5353,5180,6217
11900,9098,7458,10562,7661,6787,6230
12000,9310,6903,6548,7622,5547,4185
12100,7251,7507,6106,5488,5023,5329
12200,7548,6835,6171,7451,6143,5289
12300,9813,7470,6441,7205,6292,4958
12400,9599,7735,7281,5718,5381,5795
12500,7387,6936,6380,8082,4946,5074
12600,8692,6819,6497,5629,6212,5284
12700,8029,7107,6499,6089,5334,5181
12800,8388,7090,6499,6067,5907,4671
12900,8885,10004,7455,6018,6077,4903
13000,8213,8218,6839,6443,6333,6890
13100,12316,9091,7770,7275,6849,7228
13200,9544,7615,9405,6139,5828,6058
13300,8230,7591,7006,6480,7192,5871
13400,12492,10662,7535,7182,5970,6090
13500,8373,8415,7513,5904,5958,6520
13600,8424,7794,8357,6540,5569,7023
13700,8486,7613,7374,6711,5840,5796
13800,10184,8785,7507,6919,6190,5534
13900,8784,8162,7035,7495,6791,5826
14000,9023,7829,7782,6378,5934,6365
14100,9318,7909,7817,7336,8410,9175
14200,11024,13389,21617,16084,10871,7052
14300,10004,9432,9468,6818,6949,5858
14400,9171,10552,7304,7634,8049,6402
14500,8568,8030,8048,6740,5972,6161
14600,9059,7903,8790,7082,5697,5859
14700,9416,8195,8610,6642,5984,6262
14800,9195,8222,7431,6983,6407,6180
14900,9483,8160,7295,9764,5915,6267
15000,10035,9439,7473,7094,6099,6248
15100,8988,11203,9810,10182,10154,6994
15200,13310,12108,9688,7643,7164,9170
15300,10276,8825,8273,6434,6473,5957
15400,11214,8490,7940,6625,6203,7552
15500,9318,8182,8125,7076,6947,6732
15600,10701,8792,7948,7006,7025,6157
15700,10169,8344,9678,8037,7435,6764
15800,10862,8760,8528,7035,6935,6507
15900,9731,8989,7928,7198,6981,7786
16000,11110,9377,8347,7728,7139,6389
16100,11629,14313,10290,8475,9106,7763
16200,15270,12113,9787,8278,7209,6449
16300,11382,10939,12333,9572,7994,6918
16400,10663,8710,8550,7384,7106,6905
16500,9738,9369,8117,7508,7580,6644
16600,11022,11139,8144,7429,8341,6431
16700,11727,13550,9702,11869,10620,10220
16800,12645,9601,12021,11726,13102,11483
16900,13753,12000,12660,14191,9980,11143
17000,17112,13474,10997,24737,25385,23088
17100,34732,29342,20417,22451,16305,11922
17200,18704,25092,19366,13661,15470,12805
17300,22659,11831,11911,8876,8184,9248
17400,14511,10171,8574,7635,12124,9877
17500,16497,9423,9217,15213,22764,18742
17600,36126,20298,17752,23994,25640,21135
17700,20472,22214,17911,17480,21403,21580
17800,22174,15051,13628,10041,10771,8687
17900,14898,13474,9996,9809,8072,11233
18000,15469,10950,10288,21726,31593,28686
18100,37958,30825,28934,21429,18915,13266
18200,15935,13609,9193,8695,8227,7922
18300,11886,9677,11187,8657,12378,14283
18400,22045,12380,12911,12513,11323,9708
18500,27748,15332,19066,14027,13173,17333
18600,22355,17663,16797,13004,14493,17035
18700,38553,32570,31979,30867,28595,25940
18800,38369,23933,18447,16986,20592,14981
18900,35770,19741,12506,10389,9680,9704
19000,13912,12365,10773,9958,10956,11073
19100,15982,12524,14916,21309,26229,27517
19200,38895,30298,32508,28062,28430,23115
19300,40800,35207,23711,13846,10049,9379
19400,21069,28034,17097,12110,11483,19344
19500,17994,15825,20860,26255,23478,23168
19600,20628,18426,16371,21187,24660,16808
19700,21304,24660,16513,12204,14676,16756
19800,19116,23578,16014,15900,12845,9952
19900,13259,13476,11949,10580,10513,8992
20000,13464,12445,12930,9951,10692,9591
20100,17867,19880,22672,12486,13245,11555
20200,16445,16973,16166,11614,13142,10608
20300,24123,14719,16679,15154,12798,7744
20400,12729,15746,11195,12086,25787,26708
20500,51028,40798,30674,26234,17353,10315
20600,14744,17115,13493,13610,10311,12651
20700,19503,14247,16585,18814,12950,11688
20800,20177,15553,12321,13248,9717,8505
20900,13940,10592,10586,10537,9194,8617
21000,13073,11111,10375,9609,8904,8340
21100,14634,12508,10656,9459,9735,9782
21200,12770,12053,10899,10064,9914,8258
21300,12858,11519,11132,9978,10844,8747
21400,12727,11473,14175,14462,11898,9668
21500,16988,15208,13604,11374,9505,8936
21600,14536,13160,17527,13754,9942,7916
21700,14948,11682,11382,10096,9568,8135
21800,13372,12235,11566,10273,9464,9582
21900,15137,10990,10666,9619,8908,7836
22000,12807,10704,11161,9954,9498,8451
22100,12938,11210,11514,13808,11265,11280
22200,18461,14785,13079,10221,9976,8048
22300,13025,11576,11173,9995,9560,8247
22400,13828,10900,11120,11181,9216,8317
22500,13103,11662,10488,9793,8898,8249
22600,13297,12157,11268,10083,9782,8296
22700,13599,14993,12217,10513,9561,8715
22800,14722,13147,11248,14259,12630,10484
22900,18427,15401,13992,16886,9399,8825
23000,14932,11587,11203,10067,9753,8672
23100,14037,12818,11394,9839,9334,8468
23200,14377,12739,11728,10384,9465,9289
23300,14773,13831,11289,10184,9375,8564
23400,13962,11944,11287,9940,9585,8497
23500,13644,13330,21432,13906,13904,11884
23600,18403,12515,11286,11406,9627,8769
23700,14196,12498,11324,10710,10126,8985
23800,17075,13155,20748,15469,10618,9939
23900,17065,16295,13099,10399,10058,8859
24000,14270,13340,14588,10788,10087,9025
24100,14410,12929,12334,15159,13449,13097
24200,20127,16173,13677,10449,9420,8946
24300,14426,12960,12978,12998,11821,10156
24400,14939,14576,19041,11255,9571,9450
24500,17630,15116,14652,13391,12433,10611
24600,17045,13910,14202,24056,14541,13681
24700,28058,29729,24449,36159,34775,20629
24800,16171,14522,12860,15847,14718,11782
24900,15160,14755,12789,11678,10091,9147
25000,18368,24621,32391,25805,15536,10558
25100,19845,16558,14792,13903,23294,18858
25200,30408,30246,38789,38114,33916,32362
25300,49804,53206,47676,40194,29550,22468
25400,42274,31092,25632,23200,24223,21304
25500,48311,47732,43166,38316,37653,30672
25600,17846,13729,11959,11144,10590,9899
25700,14752,15066,12743,11141,10200,10042
25800,15110,15300,12512,12060,10320,12005
25900,14785,13643,13908,11427,11450,10956
26000,18629,13828,13006,11201,11124,10078
26100,17688,15962,17518,14610,13719,13747
26200,17567,13891,13391,11586,11218,10875
26300,15836,13701,15274,11508,10994,10589
26400,15206,13528,14180,11099,10538,11593
26500,21696,14771,12698,12862,10394,15821
26600,16334,15882,14259,11672,10617,10515
26700,26041,18304,17665,17689,14228,11362
26800,17765,14609,13114,11694,10361,10497
26900,16671,16744,13718,12172,10375,10866
27000,16283,14738,13541,14207,10870,11534
27100,16025,14302,17634,18763,14556,16343
27200,32801,39059,30547,21389,18224,13775
27300,23760,17230,14117,12138,13885,30418
27400,24924,15350,12923,12396,11188,20403
27500,26718,22125,18604,17044,14626,22133
27600,22787,20363,18329,12433,13487,18554
27700,24978,24744,18799,13627,11988,11919
27800,16458,23530,21127,41767,37299,42192
27900,73412,39007,18624,18582,16768,15752
28000,29206,22742,22180,19044,14702,14117
28100,21150,18881,14895,14354,11690,11450
28200,17021,14435,13501,12928,11195,11051
28300,18415,14992,14336,12434,10940,11929
28400,17428,15920,14488,11996,11418,11648
28500,17411,16116,18090,16083,14387,14778
28600,22893,15316,13891,13423,11065,11618
28700,21457,15946,18232,13421,11600,11205
28800,17452,15513,13828,12527,11691,11805
28900,20948,31310,34528,24503,16296,14765
29000,38706,44328,30828,24336,22053,14111
29100,18797,48882,48507,48308,43749,17201
29200,26002,19127,18408,26514,21004,18675
29300,20760,29914,40205,19337,17303,24212
29400,28722,22670,25256,22397,21439,13978
29500,19035,40655,44716,20277,14672,29149
29600,30392,22244,16947,14949,11535,18798
29700,32486,24051,28169,32791,37086,25215
29800,24571,23909,34153,36035,32995,37703
29900,31809,38335,44396,47863,44500,35855
30000,64518,58129,51389,39278,27207,19735
30100,32574,22956,17389,17040,14427,15111
30200,28396,19330,18498,18292,21296,19187
30300,27430,20886,18975,22960,16950,15701
30400,30264,28759,24255,26524,18056,19261
30500,27295,20515,21722,18228,17669,14812
30600,25249,23107,22399,19885,15468,14717
30700,24023,24382,20341,18374,14856,15746
30800,28748,42764,25436,20796,20624,20900
30900,25239,22556,18498,17273,15182,16619
31000,23376,21182,22736,18487,17211,16371
31100,36289,22625,19229,17632,18109,15108
31200,26515,28450,26130,23202,22645,20868
31300,24899,24438,22836,19476,23003,19354
31400,30215,21223,20625,18360,21745,18083
31500,28128,24170,20786,16997,18616,16894
31600,37436,28174,24891,21596,23432,18197
31700,25026,21529,19398,17856,18882,16794
31800,24757,21006,19714,16915,19683,16727
31900,24238,21106,19479,17932,18737,15843
32000,29649,27893,26608,24329,23135,19220
32100,23673,20618,21317,17287,17431,18314
32200,25988,21918,21925,18533,17838,16153
32300,23137,20966,23314,20553,17819,17050
32400,34849,32467,25310,23390,22022,16162
32500,28475,20779,19713,17681,17448,17159
32600,27143,20822,19790,19890,19394,17607
32700,25028,21107,21147,18603,18894,19675
32800,33610,26988,24393,27723,21388,17663
32900,26133,22665,19918,20894,18616,16789
33000,26116,21361,19686,16901,19851,17074
33100,26115,22576,20180,17079,18485,18947
33200,35856,26696,25666,23271,25657,20112
33300,29176,23332,20008,19484,19199,19778
33400,26845,22673,22119,18640,17809,16648
33500,25878,21642,20402,18134,25025,29558
33600,40237,28884,25698,21490,18406,16510
33700,30518,24932,21269,18409,17896,18565
33800,26805,30972,21509,18848,23807,26552
33900,27150,25053,29075,30934,53431,48250
34000,72948,60790,34922,20642,32705,47479
34100,72156,58750,59660,52076,54837,46813
34200,59040,37921,34486,19235,22816,27814
34300,45552,25856,42636,29941,31627,36526
34400,69294,55887,32472,25362,19992,25959
34500,76881,70421,66942,56283,54318,48493
34600,70934,66924,50901,31680,30972,42924
34700,73096,62773,30981,29049,18019,19162
34800,25919,28161,25457,30680,28361,27486
34900,35292,30509,26470,23269,20421,19920
35000,28062,20379,19532,17670,27659,17271
35100,25042,21153,26505,19266,19844,17046
35200,28785,21889,35854,23461,22063,24383
35300,26581,24086,18650,21943,17298,17586
35400,26124,22762,20365,17181,17207,15879
35500,25884,22781,18953,19654,17513,19476
35600,26437,49459,35063,40997,36718,23587
35700,28395,26540,22888,25180,20289,17123
35800,32878,23068,35078,31104,32316,35566
35900,42116,27223,30297,24919,21833,26948
36000,29701,36774,31540,24649,27641,31960
36100,40083,53059,32654,29354,24008,21885
36200,57386,67026,58450,54010,50473,46077
36300,74385,54168,28758,25413,17030,18722
36400,29563,30759,24619,19817,22490,22300
36500,35915,24046,22582,19279,20489,23641
36600,46633,33747,30801,24143,25846,22616
36700,32142,30235,24555,23065,25104,25371
36800,32390,26627,22443,26301,20759,23199
36900,70822,56092,40791,26103,24618,18959
37000,26830,21463,20910,19816,19870,44804
37100,29480,41031,26238,21226,27197,27868
37200,31385,31261,34709,26509,26247,25184
37300,31223,22571,28718,38340,19583,23673
37400,43958,49769,22872,19235,21405,16745
37500,28671,29377,34743,25504,22573,19440
37600,30860,21786,21905,18848,19757,18022
37700,28869,22916,19878,18149,18242,22519
37800,51050,35010,26941,39328,25738,22414
37900,39386,25047,26931,29422,38222,16085
38000,23223,21457,18074,17382,16635,15162
38100,24769,19342,22140,20977,17458,19449
38200,33747,47427,23693,21298,36447,24274
38300,25989,24867,31849,25373,27203,23546
38400,32289,27097,19315,21464,22251,24196
38500,34626,22013,23408,32896,21943,19991
38600,31958,27485,20249,18696,17065,52643
38700,83755,43106,55983,49072,52937,38045
38800,87612,41360,40257,21182,21254,18286
38900,29864,25422,26823,17133,17316,29250
39000,63604,49007,60729,56032,59931,38841
39100,45294,51078,76025,32998,30039,37918
39200,90571,70690,48616,52317,44162,23172
39300,51389,27428,29270,42468,37807,29726
39400,44247,69768,69575,58149,63207,59856
39500,56310,41324,38448,30613,32013,23428
39600,49472,24336,43376,40948,41377,35149
39700,38024,21803,19221,16837,19061,15430
39800,31761,21187,20362,28983,47375,22432
39900,25918,21202,18622,17104,17759,16591
40000,37733,26998,24416,18197,18266,17442
40100,26959,20755,19541,19044,17141,16844
40200,24988,20469,18980,17555,17098,16573
40300,25549,21619,19704,17919,19814,23695
40400,37863,43622,20973,22062,19849,18888
40500,42342,24933,18914,17852,23149,20663
40600,25581,21552,19056,18251,17722,16878
40700,25346,26217,24574,22380,21301,18544
40800,26697,21708,19807,18041,17832,20374
40900,28349,21988,20941,18943,17865,15727
41000,25796,21936,24441,18163,17834,16380
41100,31351,28267,25462,18172,17529,16825
41200,27074,21008,20247,17379,17949,16973
41300,27069,20935,19667,18109,19774,15781
41400,26228,20904,19899,18229,17657,21851
41500,33090,27827,20727,18041,18869,15655
41600,26856,25796,25114,19453,23016,16323
41700,25910,22870,19831,19185,17949,17969
41800,27712,21728,21923,27897,25799,21949
41900,29607,22384,20217,18423,18420,17875
42000,26709,21741,20131,18452,18740,16744
42100,26797,21363,20733,18770,20536,16558
42200,25994,29132,25360,25063,20095,16559
42300,29517,21847,21330,19694,18444,16377
42400,26615,21707,23197,19614,18434,16004
42500,25858,22802,20471,20227,17983,24009
42600,35565,28472,23453,20519,23727,17285
42700,26586,25081,20500,19937,18842,17521
42800,29151,22851,21701,19183,21393,18417
42900,26737,23336,27439,31824,22174,18867
43000,27504,24394,21313,20623,19222,16966
43100,27752,23441,21304,20483,19340,18608
43200,26006,22806,21729,20515,18855,21137
43300,40674,34513,22925,21745,18310,16691
43400,28040,23693,25469,23598,22127,17358
43500,26972,23356,21275,20982,18500,18654
43600,30140,24204,30627,26277,23212,19392
43700,27992,25596,24114,23715,19182,17671
43800,27883,24509,24141,20418,23424,17169
43900,29010,23689,23858,21569,23961,24465
44000,38481,51114,35381,38041,27690,27696
44100,30889,25532,22173,22506,20954,17442
44200,29047,26628,25934,26868,23658,22401
44300,31752,24142,22913,22645,18518,17705
44400,29524,25351,25342,21364,19892,32714
44500,29599,35106,32956,23097,24841,27955
44600,43391,86740,88099,46862,19926,24097
44700,41362,28313,25936,21960,34546,27050
44800,51361,63266,65209,30696,33747,36863
44900,45899,43310,44128,33195,22398,34029
45000,53849,53340,38391,29676,24413,22801
45100,32771,30237,29299,25460,21296,20185
45200,28806,26865,53618,52051,35694,25797
45300,29047,36981,58904,73226,23641,34868
45400,34146,36542,63646,73811,64723,45050
45500,86728,81991,87258,59154,49109,48292
45600,100637,81940,78814,50930,20298,17639
45700,39051,59012,46638,31625,26890,22097
45800,30601,28630,30469,22171,20234,30907
45900,49799,82512,71553,32167,25116,23735
46000,39337,31157,29772,31060,23936,22794
46100,32098,40983,31994,26566,23755,21685
46200,30781,26954,27048,21888,20207,18449
46300,36661,28336,24984,22115,19902,19867
46400,32792,33663,31888,29168,20564,20080
46500,35536,26572,25867,23059,20584,19566
46600,38222,30175,25996,23354,21143,19027
46700,34496,31974,31420,28340,22080,24462
46800,34392,26011,25088,24679,22797,22317
46900,32513,30041,26180,21850,20215,19095
47000,38810,44439,36424,34342,21505,19302
47100,41826,35926,32265,27397,20563,21760
47200,31356,27352,29797,23673,21109,19549
47300,39421,36346,31741,26202,20498,18423
47400,35157,28207,25834,21748,20406,19080
47500,30731,26393,24929,22481,19950,17908
47600,31063,33195,32935,27429,19894,20380
47700,29447,26458,26217,27212,20691,19164
47800,29808,26704,26881,22408,20155,18632
47900,29868,30795,32293,28230,23919,19477
48000,30086,27736,25058,22857,20508,19018
48100,33567,28313,24374,22122,20887,18986
48200,30634,28267,27293,29255,27418,23726
48300,30614,26265,25970,22768,23086,19237
48400,30375,27141,24499,22107,20802,18459
48500,31361,26375,25051,34837,30342,24969
48600,34608,27013,27443,23239,21267,19925
48700,29775,27859,25000,22523,21395,20062
48800,30590,27047,24473,27539,26478,27825
48900,36378,27864,24910,23935,22605,19006
49000,30250,27594,25510,23973,21746,19951
49100,31466,28535,25160,23126,22002,29242
49200,38913,28342,24948,23224,20564,18750
49300,31956,27778,27471,23432,27572,21604
49400,31027,27511,24731,23682,21366,31490
49500,40286,31793,25056,23417,21938,19828
49600,30179,29793,26151,25042,22007,20876
49700,30799,27926,24976,23638,22754,24629
49800,39295,33077,32503,22653,23304,18964
49900,31699,27911,25438,31662,23402,31918
50000,33911,35069,43961,52748,27158,24814
50100,34036,28239,25841,23098,22538,19437
50200,31250,28904,26311,23060,21593,19398
50300,33397,29417,28796,31874,27993,23834
50400,30957,30802,26705,24370,22584,19132
50500,31150,32382,28860,23258,22090,19459
50600,31861,30057,32218,29165,28459,24539
50700,32874,28166,27826,23582,23655,21248
50800,31485,33141,25659,23752,23640,19639
50900,42192,51795,53319,30568,20850,20214
51000,32879,28996,37262,24976,31332,23349
51100,45194,36347,35272,26184,21977,32521
51200,45893,39991,30034,28835,23887,19745
51300,32440,29174,29647,24793,22790,22719
51400,41138,36083,26575,41208,43687,25834
51500,34996,31613,29543,26367,26858,24843
51600,39978,34077,29514,31426,26101,25179
51700,43515,52949,35806,29210,30310,25596
51800,37616,42485,46297,36071,30709,30628
51900,33266,35200,42384,30742,28642,26488
52000,32303,28321,27190,25271,23428,22117
52100,34499,29052,26334,25114,22913,22383
52200,33607,35555,37233,28123,23025,22760
52300,32290,29523,27619,24892,22707,21856
52400,32582,29637,27459,25667,25687,23498
