n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
500,192,143,153,174,167,227
600,204,182,192,232,216,306
700,252,214,265,235,279,402
800,290,260,259,271,1954,540
900,330,329,357,324,497,443
1000,368,325,335,408,375,627
1100,491,363,463,561,516,772
1200,632,1318,971,608,687,2393
1300,722,677,1205,1237,752,2908
1400,729,663,1527,1081,845,3162
1500,825,700,626,1165,905,1559
1600,1212,714,649,689,1403,1361
1700,1448,885,706,2543,3143,1143
1800,3323,910,3263,1153,3310,4471
1900,1176,3218,1006,3211,3099,1397
2000,3043,1033,3424,3163,1188,3574
2100,2872,1280,2076,1134,1649,2190
2200,1449,2599,3054,3262,1308,3367
2300,1455,3147,3507,3007,3596,1835
2400,2960,3107,3372,3424,3439,6232
2500,3357,1493,2793,2456,1436,2218
2600,2200,1149,2323,2397,1377,3113
2700,2398,2098,1647,1430,2596,2878
2800,2014,1310,2139,1276,2172,2497
2900,1451,1597,1263,1905,1401,2803
3000,1848,1582,1636,1295,2140,3256
3100,2104,2687,1741,1568,2139,2164
3200,1913,1761,1801,2306,1594,3102
3300,1723,1285,1769,1383,2269,1736
3400,2049,2443,1724,1969,2130,1972
3500,1992,1507,1958,1543,2351,1962
3600,1863,1666,1695,1994,1892,2388
3700,2296,1469,2284,3093,3221,3195
3800,1996,2415,2141,2381,3946,3417
3900,2894,1880,2046,2095,2633,3450
4000,2693,2499,2310,1986,2749,2497
4100,1974,1850,2424,2204,2543,2883
4200,2329,2253,1966,2967,3202,3423
4300,2691,2095,2015,2016,2042,2783
4400,2210,1792,2080,2045,2218,3340
4500,2248,2944,2079,2058,2404,3042
4600,2359,1831,1970,2310,2174,2934
4700,2370,2470,2112,2207,2302,3421
4800,2302,2259,2095,2351,2398,3099
4900,2217,2243,2135,2489,2614,3502
5000,2262,2133,2237,2939,2534,3268
5100,3025,2437,3347,3726,2944,3933
5200,2645,2151,2311,2520,3564,3721
5300,2590,2389,2410,2356,2638,3999
5400,2892,2403,2636,2656,3055,3710
5500,2806,2772,2421,2419,3058,4063
5600,2587,2325,2463,2849,3266,4382
5700,4550,4385,4804,3021,4079,5257
5800,3596,3143,3813,4558,4410,6331
5900,3377,3462,2895,3583,3653,5867
6000,4364,2858,2834,2692,3404,4327
6100,2905,3186,2669,2866,3265,4817
6200,3116,2611,2938,2922,3492,4607
6300,3061,2700,2915,2888,3709,5235
6400,3298,2736,2670,3267,5141,9365
6500,3505,3375,3428,3459,4334,3957
6600,3185,3770,3471,3111,3623,3936
6700,3816,3198,3103,3218,3686,4335
6800,3636,3348,2917,3262,3922,4620
6900,3536,3094,3098,3285,4003,3961
7000,3544,3575,3319,3754,4077,3974
7100,3512,3290,3359,3632,3991,4719
7200,3610,3552,3704,4036,4384,4152
7300,3548,3175,3247,3792,4388,4889
7400,3665,3209,3570,3643,4572,4517
7500,3588,4439,3451,4094,4766,4358
7600,3706,3411,3707,4270,4880,4563
7700,4206,3742,3639,4822,5065,5578
7800,4912,5810,6473,6338,6893,6325
7900,6641,5690,5406,5639,5245,6043
8000,4037,4248,4887,4515,4177,5339
8100,3852,3775,3827,4222,4006,5446
8200,3972,3738,5358,4488,4056,5070
8300,4756,4144,4183,4052,4060,5384
8400,4329,4069,4151,4643,4143,5262
8500,4178,4722,3924,4378,4962,5986
8600,5207,4672,4161,5314,5208,7631
8700,4231,4246,3952,4535,5304,6290
8800,4477,4113,4336,5506,4621,5510
8900,5280,7422,4478,4948,4921,6158
9000,4519,5572,4797,4844,4848,6268
9100,4652,4015,4329,5068,4791,6306
9200,4574,4110,4178,5266,6219,6512
9300,4656,4942,4906,5159,4976,6517
9400,5286,6097,4873,7544,7214,8981
9500,6697,6076,7071,6305,8399,9175
9600,6356,5645,5154,5229,5026,6644
9700,5319,4855,4640,5283,5311,6707
9800,5150,4580,4657,5091,5244,7541
9900,4943,4773,5213,5697,5133,6977
10000,5055,4572,4928,5295,5667,7378
10100,5487,4895,5531,5277,5408,7570
10200,5139,4599,5509,6330,5515,7233
10300,5682,5021,5146,5502,5589,7634
10400,5649,4803,4766,5844,5932,7439
10500,5245,4767,5340,5301,5756,7354
10600,5841,4969,5525,5527,5962,7647
10700,6189,4898,5378,5363,6060,8072
10800,8340,9399,6769,6731,7475,10500
10900,8283,6485,5898,5922,8515,7962
11000,5754,5190,5878,5304,6108,8097
11100,6051,5047,5404,5600,6695,8481
11200,6019,5295,5506,5561,6080,8880
11300,6630,5143,5316,5735,6775,8513
11400,6009,5772,5187,5657,6347,8740
11500,6204,6520,5323,5934,6409,8753
11600,6228,6324,5723,5797,6577,9414
11700,6005,5921,6239,5985,6594,8912
11800,6584,5632,5565,5899,7084,8837
11900,6283,5708,6293,5949,6726,9093
12000,6855,6514,9860,7232,8582,11070
12100,7125,8340,7748,7309,8742,10682
12200,6204,6320,5955,6339,7422,14108
12300,7457,5802,6238,6733,7026,10052
12400,6601,6049,5855,6214,7418,9853
12500,6338,6471,6300,6001,8085,10243
12600,6683,6090,6706,6528,7392,11269
12700,8558,6026,6646,7122,7359,10486
12800,7049,6559,6615,7619,7741,10240
12900,7583,6553,6269,6526,8183,9238
13000,6961,6500,6325,7322,16002,13187
13100,10145,8627,9096,11609,10528,10811
13200,7889,6971,6191,6813,8103,8082
13300,6884,6398,7087,6920,9015,8710
